FID,ALA,lat,lon,year,basis,rain,dist2rds,slope,commchng,dem,noburns,soil,sandpc,roads5k
19,9f3748a9-107b-4929-acb3-96c7974cdfbb,-42.11631528,146.1787767,1997,HumanObservation,2032,5000,0.707168,8.3,743.9139404,0,1067,0,
20,9ef64b81-dc53-4e3a-942d-c3d481ff248f,-42.64849655,148.0346728,1977,HumanObservation,633,,,8.3,-0.3166677,0,,0,
21,975404aa-a4df-47dd-a352-147e2115b437,-43.00962216,147.0743107,2008,HumanObservation,781,0,0.5806453,0,137.2269287,0,2574,0,1
22,8f288c58-5aa6-46f2-ad97-71d6d4c43e4b,-42.71110754,147.3784015,1978,HumanObservation,561,0,0.6157385,0,51.987587,0,2272,0,1
23,8a596a82-58c0-4f97-a288-ba3ae588e097,-41.54543245,147.4749382,1988,HumanObservation,927,0,0.7974201,11.53,445.6575928,0,2372,0,1
24,81db08b6-bbab-4d72-9254-31bedfaf4a0f,-42.83,147,1962,PreservedSpecimen,776,0,1.6945701,8.3,576.9743652,0,2372,0,1
25,7f14b86b-2807-4a82-b0ab-43ec1539dfd0,-42.76400126,147.7982418,1990,HumanObservation,799,0,0.9743279,21.62,149.6853333,1,2372,0,1
26,7bf2767d-a7fb-485e-9547-089e4a08fcf9,-42.11809861,146.7582029,1993,HumanObservation,864,0,0.6972814,0,881.4734497,0,1063,0,1
27,72294acc-274b-4016-bbbe-3086d0e459ca,-41.9343464,147.249835,1988,HumanObservation,541,0,1.0171074,8.3,205.9409485,0,2372,0,1
28,6bfd3509-e79c-4cf2-9230-d91ff7948460,-42.74850129,147.4013561,1980,HumanObservation,493,0,0.4420039,0,23.1935539,0,2737,0,1
29,6bf1365a-c95e-40a9-8c76-4bf3af06661c,-41.56798933,147.4655083,1990,HumanObservation,822,0,0.7974201,11.45,324.1993713,0,2372,0,1
30,683cf6bc-efcc-480a-afb4-77ca65502b24,-42.76607196,147.6075999,1990,HumanObservation,594,,1.0032133,0,75.377037,0,1142,0,1
31,65d49c6e-7060-41e2-ab08-228e5e03465f,-42.23182512,147.6679995,1980,HumanObservation,532,0,0.462585,8.3,376.0189819,0,2372,0,1
32,618cc08c-d454-4545-a72b-0a1ed72beaf2,-42.75390933,147.6881328,1990,HumanObservation,655,0,1.0690174,0,175.0870056,0,2372,0,1
33,59851255-584f-45cd-bcda-d475d5a7099c,-42.81516601,147.801346,1980,HumanObservation,758,0,0.7358043,0,90.3287354,1,2372,0,1
34,4beea225-a0ed-455a-ae21-0ea555dcef45,-41.43269037,147.8212138,1994,HumanObservation,1088,0,1.516533,0,595.6376953,0,1481,0,1
35,4774d7ba-3204-4ca5-8957-a6c2596944cd,-41.96516939,147.1013483,1980,HumanObservation,675,0,0.1194405,0,478.3738708,0,1063,0,1
36,45b967ac-84fe-4b1e-99bc-c34f71db341d,-42.0358814,146.6570302,1989,HumanObservation,1224,0,0.5051048,11.53,881.382019,0,1064,0,
37,38edafd4-eed1-4a00-b572-06251761a5f7,-41.5113462,147.9024954,1988,HumanObservation,853,0,1.7823557,0,471.4424133,0,1481,0,1
38,355ef342-7718-432c-94be-cb21d58bcd12,-42.83183484,147.6680132,1978,HumanObservation,594,0,,11.53,89.6738052,0,558,0,1
39,3350aa0f-c64c-47a0-aa99-803307bc67ed,-43.21253538,146.9878365,1984,HumanObservation,859,0,0.9892977,0,64.2896881,0,2574,0,1
40,2edf4780-fb88-4b8d-a29b-e5f3fb82b8f1,-41.53184282,146.4680182,1981,HumanObservation,1165,0,0.2822455,11.53,315.3281555,0,1445,0,
41,29e9c4ef-ea2b-4d75-a98f-a6f51198955b,-42.06516595,146.8846773,1974,HumanObservation,948,5000,0.8326901,11.53,884.272644,0,1063,0,1
42,2614b81b-1c3e-45fd-a53b-d56ccd8e6376,-42.20998016,147.2339578,1987,HumanObservation,746,0,0.9627323,8.3,772.8470459,0,1063,0,1
43,24b5ea9c-2e2e-491d-aba8-b75d527bb5e5,-42.566667,147.866667,1984,PreservedSpecimen,611,0,0.2140371,11.53,30.9511852,0,2372,0,1
44,1950d013-2b6e-4ddb-b56c-7110c2f901b3,-42.97146808,147.2061657,1996,HumanObservation,1099,0,2.755137,11.53,237.6272736,0,2372,0,1
45,16a7e665-e99a-44de-b2c1-0b8a4e71dcf4,-41.55628015,147.4654243,1990,HumanObservation,822,0,0.7974201,8.3,467.6297913,0,2372,0,1
46,13806315-4ae0-4bff-a46b-58e385c33dd6,-41.43269037,147.8212138,1993,HumanObservation,1088,0,1.516533,0,595.6376953,0,1481,0,1
47,0f804113-0797-428c-86dc-a3c16fd29b9f,-41.62312421,148.2095278,2008,HumanObservation,904,0,1.3455215,11.53,341.1783142,0,1481,0,1
48,0ce67f0b-dda4-47a6-b894-3e0bc01b0e14,-43.01849178,147.9178595,1993,HumanObservation,806,,,11.53,195.1255341,0,2372,0,1
49,0cceb19f-8734-447f-bae5-25e63f3439a8,-42.75112633,147.7015434,1990,HumanObservation,655,0,1.0690174,0,131.7828674,0,2372,0,1
50,02a7da75-796f-4bc9-a21d-103e24b37c92,-42.7720368,147.8081238,1990,HumanObservation,736,0,0.9743279,0,149.3235474,1,2976,0,1
51,fece4966-fc23-4e22-8e60-48ae1a9eb97c,-42.52457434,147.4433242,1993,HumanObservation,596,0,1.0216985,11.53,294.9284058,0,2735,0,1
52,fe4f9940-c9f3-4034-b7d6-4b66fa0bbd0a,-41.52652954,146.8754865,1994,HumanObservation,831,0,0.3832384,0,159.9921875,0,2370,0,1
53,fcab62db-d64e-43d3-b531-d695db90b269,-42.62898707,147.0501481,1994,HumanObservation,544,0,1.4254282,0,382.3801575,2,2977,0,1
54,f541496a-4541-4d18-b76f-6b7e837df913,-43.16573392,147.4478069,2020,HumanObservation,802,,,0,,0,,0,
55,e2f60d91-97f8-4895-a3e8-db9c89de4ee4,-42.99359845,146.835764,1990,HumanObservation,982,0,1.5455319,21.62,32.4846001,0,2963,0,1
56,e191384c-e71f-4b2e-935f-181545859bf6,-42.86719721,147.3196721,1994,HumanObservation,548,0,,0,26.2200184,0,,0,1
57,db42c367-650f-4bcf-a6a4-ef7ef32faa3e,-41.59976427,146.7124004,2004,HumanObservation,1000,0,1.2709028,0,280.3160706,0,1434,0,1
58,d9aa5236-84c7-4bbb-bdb2-6c2436573342,-42.83350369,147.2627834,2016,HumanObservation,640,5000,1.7912699,0,11.7537231,0,2733,0,1
59,d4be9c61-eece-4584-a3cc-ad2e4eda0ad5,-42.33183694,146.8346927,1968,HumanObservation,604,5000,0.9845263,8.3,563.7348633,0,2372,0,
60,d2738246-61cb-41e7-ab5d-ade8c97f352a,-42.66516759,147.168018,1968,HumanObservation,620,0,1.4925876,0,82.3305511,0,2735,0,1
61,d224597c-eec2-4cfe-aa64-eb49d29ecaf0,-41.76666,147.35,1979,PreservedSpecimen,617,0,0.1253276,0,193.1993866,0,2970,0,1
62,ca6950bb-a2cb-495f-9caf-7a140b8ed5e1,-42.49850196,147.3346796,1968,HumanObservation,594,0,0.548011,8.3,316.4309387,0,2735,0,1
63,c4dec868-8a6d-4062-bd4d-947e72f7fee7,-42.5055409,147.4736185,1993,HumanObservation,557,0,0.8782517,0,552.2770386,1,2977,0,1
64,c2bbf8af-68fe-42db-8b8c-15d3a1113813,-41.5484963,147.5679932,1983,HumanObservation,1378,5000,3.6753147,8.3,1181.52832,0,1063,0,
65,c1b957ae-ad9a-428d-9c5b-1f303fa47a14,-41.57680455,147.0442277,2001,HumanObservation,733,0,0.1514361,11.53,184.2929535,0,2970,0,1
66,b7e9cda8-b8d0-4526-8c3b-df3ef6e57168,-42.61516348,147.6346741,1980,HumanObservation,666,0,0.661536,11.53,357.2087097,0,2736,0,1
67,b73f5679-2434-4428-a4c1-08c3834815fd,-42.68630224,146.7242736,1986,HumanObservation,1184,0,2.7720015,21.62,301.7262878,0,2977,0,1
68,b735d6fb-5c1c-45d0-a9c1-b4e317013c17,-42.9923572,147.3240001,1989,HumanObservation,683,,,0,5.3467307,0,2574,0,1
69,a114f717-9b60-4b90-bf66-5a5e5296eed1,-42.33182571,148.0013308,1977,HumanObservation,597,5000,1.3466755,68.29,101.4191742,0,2976,0,1
70,9e0dedea-6697-4598-ba82-640138f5096c,-41.53305015,147.8914091,1986,HumanObservation,1017,0,1.4216448,0,594.6373901,0,1481,0,1
71,9bbffc92-2257-4e27-8d6c-1c24b62cbeb6,-42.78370248,147.2092093,1993,HumanObservation,538,0,1.0425541,11.53,254.9601593,0,2977,0,
72,93285019-e448-41ad-b36d-a7fd950fed41,-43.13246762,147.1384114,2020,HumanObservation,1158,0,2.2892544,6.07,216.0313721,0,2372,0,1
73,92e7f2f6-c258-4599-b0f0-4336ee54f792,-42.86667232,146.8728276,1993,HumanObservation,1160,10000,0.6816318,0,349.7872009,0,1063,0,
74,91ae1d9f-0264-4048-a0d4-cfb87c1df843,-42.9484927,147.3273494,2009,HumanObservation,797,0,,11.53,132.3156891,0,2977,0,1
75,8949b3c6-ab34-4c28-9633-090d52ebb81f,-41.58333333,147.1166667,1931,PreservedSpecimen,670,0,0.0488708,68.29,135.4737549,0,2970,0,1
76,7b393558-6df8-4954-be5e-cdc8c94ed76e,-42.11515149,148.2846556,1990,HumanObservation,709,0,,-2.82,18.1088486,0,973,0,1
77,788659c5-81eb-450e-a10f-e95a4c236887,-42.8897258,147.4762555,2020,HumanObservation,556,0,,0,5.1322355,0,2272,0,1
78,78411b6a-0b67-4cd1-beb4-6047796ff6c8,-42.72710991,146.8938781,1989,HumanObservation,816,0,0.819772,68.29,182.6287537,0,2735,0,1
79,69b8bb56-cbb5-4c9a-80e6-3c73a5997adb,-41.58333333,147.1166667,1932,PreservedSpecimen,670,0,0.0488708,68.29,135.4737549,0,2970,0,1
80,692e5d1e-b9d6-457b-8780-378fec03f754,-42.66516172,147.5513507,1974,HumanObservation,716,0,1.2965888,11.53,244.4785614,0,2372,0,1
81,522bfaf4-065f-4365-b395-634fd62dfeb0,-42.68332,146.71665,1987,PreservedSpecimen,1184,0,2.7720015,0,166.0920105,0,2977,0,1
82,4b8d7c6c-b262-469e-8ec8-3059ba24cc66,-43.16478104,146.9177269,1991,HumanObservation,1098,0,0.95362,0,75.9254379,0,2574,0,1
83,4a9ab644-cdce-4ebb-bdba-f0c8feaa9117,-42.05349369,146.5421296,1986,HumanObservation,1236,0,1.0126004,11.53,904.1881104,0,1063,0,1
84,4811ed50-207a-47ae-8c65-02616e9a5551,-41.8151616,147.4013391,1983,HumanObservation,539,0,0.1862946,0,213.3844604,0,2970,0,1
85,4530aa06-6fc2-4662-b4a9-093583a3f7cb,-41.64450216,147.7338379,1986,HumanObservation,1048,0,3.1197991,21.62,650.4009399,0,1063,0,1
86,3e730f15-7804-4c1d-a969-f1588f96d0b0,-41.8318292,147.43467,1983,HumanObservation,539,0,0.0665014,11.53,212.6761017,0,1421,0,1
87,3d10c9be-8035-48b0-b5ad-aa5e16a921e6,-42.75857986,146.849829,1993,HumanObservation,1000,0,2.4668036,11.53,436.1481628,0,2372,0,1
88,3c574b72-1874-4106-b1c3-be3282377901,-42.73943931,147.5303718,1974,HumanObservation,527,0,0.9227698,0,38.1169853,0,1143,0,1
89,3baba78f-0dcb-427d-a24d-ca3ef22db3c0,-42.66516953,146.7846968,1974,HumanObservation,824,0,1.5551057,0,134.9591675,0,2977,0,1
90,3b888165-9fde-4453-9c89-03bcb2a90879,-43.13938976,147.2177958,1989,HumanObservation,1141,0,2.2301536,11.53,127.7657928,0,2372,0,1
91,36c705c2-d22a-4b58-9ca7-f3bf8258acd9,-42.68169547,146.6840147,1989,HumanObservation,1471,0,3.0498054,0.68,358.5767822,0,1063,0,1
92,322bdded-07c4-404f-ae27-1c1d415612dc,-42.58182968,148.0513372,1977,HumanObservation,760,,,0.68,,0,,0,
93,30ac0139-9df6-4d26-99c1-4a14d8d85ff0,-42.66517114,147.3346814,1969,HumanObservation,710,0,1.5157843,0,332.2665405,0,2372,0,
94,30092a0c-a812-46c0-8c09-4dc14bafea8c,-42.33184456,146.5013597,1969,HumanObservation,1129,0,0.6897873,4.97,773.7445679,0,2372,0,1
95,25c34315-84ae-4c8c-8a0f-5ba670b112dc,-41.53766849,147.8764873,1986,HumanObservation,1409,0,1.4216448,11.53,653.6773682,0,1481,0,1
96,1e7c0a9f-fbdc-416f-b558-5fa8d6a7e84c,-41.61957857,147.757562,1986,HumanObservation,1434,0,3.3559034,8.3,707.545166,0,1063,0,
97,19dbe677-6d96-4ba7-af40-6acf474c43c4,-42.90580664,147.2766904,2003,HumanObservation,699,0,,11.53,305.5598145,0,2372,0,1
98,16d9e06b-1841-4941-80e8-d0281ea941b2,-42.12541808,148.2983041,1995,HumanObservation,709,0,,11.53,2.2657769,0,973,0,1
99,16754794-61c8-4abc-9270-8b8f06244b96,-42.92245771,147.2874865,2009,HumanObservation,699,0,,11.53,337.5625305,0,2372,0,1
100,14437a2b-a802-4147-beae-c595597a344c,-42.9484927,147.3273494,2009,HumanObservation,797,0,,11.53,132.3156891,0,2977,0,1
101,14199509-ef5e-45af-9d00-65bbc5ca4f7a,-43.04687996,147.2369657,2008,HumanObservation,770,5000,2.0572481,11.53,72.6990433,0,2574,0,1
102,13643742-8aa7-499a-a419-6784e34068e1,-43.05974602,147.0313155,2008,HumanObservation,778,0,1.3297338,6.04,0.8459325,0,2574,0,1
103,0dd8f282-d645-4faf-aed7-4666e550f05b,-42.63773909,146.7537616,1986,HumanObservation,832,0,1.5705814,0,309.1138611,0,2977,0,1
104,0d649c44-585c-47cb-9868-a0a38dbff591,-42.58182968,148.0513372,1977,HumanObservation,760,,,0,,0,,0,
105,011522df-403a-42fd-b4f6-1c3904efa5ac,-41.59395696,146.6657838,2020,HumanObservation,1018,0,0.063236,11.53,291.4667969,0,1434,0,1
106,008f7765-6be7-4b2e-901a-70930af8e30a,-42.06695177,146.5293412,1986,HumanObservation,1236,0,1.0126004,11.53,789.0658569,0,1063,0,1
107,fe60fd9a-e55f-4fb7-be50-b8cd3d71fda5,-41.45,147.16666,0,PreservedSpecimen,704,0,0.6900082,0,55.62994,0,2722,0,1
108,f3f916eb-35c8-49c3-9037-1ee69e574226,-42.88193,147.32304,0,PreservedSpecimen,699,0,,0,4.1014242,0,,0,1
109,f166ce3e-8ed7-4c2c-ad8a-ce2281b7a19b,-42.95,147.35,1996,PreservedSpecimen,567,0,,0,7.007618,0,,0,1
110,ec36a157-3434-4d36-be49-89fde1da76ef,-42.86,147.45,1975,PreservedSpecimen,609,0,,11.53,307.545166,0,2272,0,1
111,db473209-133c-44de-8d23-13abce6d1118,-42.22388,146.80888,1866,PreservedSpecimen,625,5000,1.840139,8.3,445.6562195,0,1063,0,1
112,da115f5b-39fd-4f03-9175-9e8c40d33b63,-42.81,147.15,1984,PreservedSpecimen,643,0,3.1429255,0,222.0288239,0,2977,0,1
113,d096b97e-f461-4317-9d7d-23708ab298c7,-42,146.5,0,PreservedSpecimen,1652,7071.067871,1.4439453,8.3,1142.905762,0,1064,0,
114,ceb50421-7460-4bab-a0b0-d22c7567cc9a,-42.51,147.91,1993,PreservedSpecimen,594,0,1.7825336,-0.74,4.6726503,0,2736,0,1
115,cd5cc4a2-9f34-4cc6-bee5-4f16bd6b75c4,-41.4,147.3,1973,PreservedSpecimen,976,0,1.36172,11.53,406.5478516,0,2372,0,1
116,c4427ebc-b39d-40f2-a47b-9b6302997b47,-41.53,146.83,1961,PreservedSpecimen,831,0,0.3809898,0,178.9978027,0,2970,0,1
117,bea1d504-b949-4280-a4b0-20a0bbad7883,-42.22388,146.80888,1866,PreservedSpecimen,625,5000,1.840139,8.3,445.6562195,0,1063,0,1
118,ac29890a-c189-436a-b7ac-cd698dab1e22,-42.78,147.52,1994,PreservedSpecimen,514,,0.1794822,0,2.2651877,0,1143,0,1
119,a84cbc12-ac2d-432e-81cc-ce0100394875,-42.81,147.15,1987,PreservedSpecimen,643,0,3.1429255,0,222.0288239,0,2977,0,1
120,99b79414-d6a0-4d29-9853-219599e12e92,-41.53,146.83,1961,PreservedSpecimen,831,0,0.3809898,0,178.9978027,0,2970,0,1
121,96c525f8-936f-4623-900c-0849c1622e29,-41.65,147.33332,0,PreservedSpecimen,612,0,0.4746627,0,181.3701935,0,2970,0,1
122,8f2c9f5b-12ab-4b7c-8855-ad682aad51c1,-41.65,147.33332,0,PreservedSpecimen,612,0,0.4746627,0,181.3701935,0,2970,0,1
123,8f1d2e17-6315-4537-b01f-147a66e5d96f,-43.14,147.25,1995,PreservedSpecimen,796,0,,0,,0,,0,1
124,7d0c5ef3-57a4-46fb-8cd4-6c4647730fb0,-41.53,146.83,1961,PreservedSpecimen,831,0,0.3809898,0,178.9978027,0,2970,0,1
125,772bae4d-5629-43d4-a20f-78fffdba9207,-42.79,147.25,1984,PreservedSpecimen,538,0,0.6422431,0,10.2900467,0,,0,1
126,6ef73596-72f3-48c5-9cd5-e718dde97aee,-41.76,147.35,1984,PreservedSpecimen,570,0,0.1253276,0,179.8395844,0,2970,0,1
127,65f058c6-29b7-47da-842c-e7e1e5573b02,-41.53,146.83,1961,PreservedSpecimen,831,0,0.3809898,0,178.9978027,0,2970,0,1
128,65940aa5-000e-489f-bdb7-f62c981ccf33,-42,146.5,0,PreservedSpecimen,1652,7071.067871,1.4439453,8.3,1142.905762,0,1064,0,
129,5f9f686e-fd30-49bd-a5c9-b26f08c90ce2,-41.53,146.83,1961,PreservedSpecimen,831,0,0.3809898,0,178.9978027,0,2970,0,1
130,5dd2c6ee-1c5c-4bff-81d8-e0e14100ed45,-41.4,147.3,1973,PreservedSpecimen,976,0,1.36172,11.53,406.5478516,0,2372,0,1
131,4dfeb775-e02c-4792-9b02-b9f74e8938fa,-41.53,146.83,1961,PreservedSpecimen,831,0,0.3809898,0,178.9978027,0,2970,0,1
132,4dec3901-47f1-4f98-b0de-6ae01af06652,-41.53,146.83,1961,PreservedSpecimen,831,0,0.3809898,0,178.9978027,0,2970,0,1
133,494d6974-33ea-48dd-b37b-79029044190a,-42.05,146.7,1866,PreservedSpecimen,972,5000,0.9808506,8.3,903.6983032,0,1064,0,
134,487ce146-ab33-4df9-b2f8-a6d940228946,-42.74,147.44,1992,PreservedSpecimen,493,0,0.7997128,0,8.5122614,0,2737,0,1
135,3587e3d9-11c6-4fe0-87ef-8186f64faf66,-41.45,147.166667,0,PreservedSpecimen,704,0,0.6900082,0,55.62994,0,2722,0,1
136,34ba2092-db16-4870-b8df-15162927d4a7,-42.22388,146.80888,1866,PreservedSpecimen,625,5000,1.840139,8.3,445.6562195,0,1063,0,1
137,20a49314-8511-45de-a8b9-6c737d693cd5,-42.88193,147.32304,0,PreservedSpecimen,699,0,,0,4.1014242,0,,0,1
138,0525dd0b-890e-463b-89f2-1ce25866827b,-42.88193,147.32304,0,PreservedSpecimen,699,0,,0,4.1014242,0,,0,1
139,f6c4d2ca-2767-4dbb-b6e1-2b1fed651d18,-43.07622252,147.2789913,1989,HumanObservation,834,,,0,,0,2574,0,1
140,f6191ff2-ac8b-4416-bfc2-722d4e381767,-42.9035677,147.4778787,1994,HumanObservation,556,0,,0,3.0056975,0,2272,0,1
141,f56a008b-e00a-48c0-9862-9905f557e161,-42.86516849,147.2680251,1976,HumanObservation,640,5000,,11.53,168.6632843,0,1141,0,
142,f083fd6e-a2ca-4d5d-8ae6-5939bf995c1f,-41.95893105,147.035139,2000,HumanObservation,732,5000,2.2709432,14.31,512.0948486,0,1063,0,
143,f045fb82-d5af-462f-9a4a-1b51924b429f,-41.99703709,148.0806189,1993,HumanObservation,566,0,1.4950705,0,17.8818474,0,2563,0,1
144,e5655f1c-d80d-429f-bb6b-f353af940737,-42.41941756,147.7488838,1991,HumanObservation,594,5000,1.1052152,11.53,469.1369019,0,2372,0,
145,de440ca6-e2e4-49c4-b8b5-6dd6f85247c1,-42.78409577,147.3999354,1989,HumanObservation,504,0,0.4835052,68.29,88.4355392,0,2976,0,1
146,ddb813bd-5ddb-4c81-ae5a-6e01b10011b7,-42.94094387,147.8618082,1990,HumanObservation,735,,,11.53,19.472908,1,558,0,1
147,dc93a90d-57a5-446a-ad51-fcd7b4960900,-42.49848864,148.0013328,1974,HumanObservation,579,,,11.53,,0,,0,1
148,dc0a57c6-8d52-4ac3-aa6e-9ebb9843ce88,-42.14908454,146.405743,2001,HumanObservation,1369,0,1.0729353,0,656.3648071,0,1063,0,1
149,d5a50d4e-12b0-471c-ba97-e439497f16b2,-42.94856696,147.2347495,2009,HumanObservation,993,0,2.6656003,21.62,265.1148682,0,2372,0,1
150,d41826c5-b322-499c-80af-c28a3dee87f8,-42.75305642,147.22377,1986,HumanObservation,595,0,1.0425541,8.3,2.83233,0,2736,0,1
151,d1018193-3094-4d0b-9718-41b8fd9e921b,-42.40732348,147.8058564,1991,HumanObservation,708,7071.067871,1.1233805,11.53,431.5939941,0,2372,0,
152,ca4db033-65d7-40cb-afc9-713d869a8dbd,-41.91515779,147.617996,1974,HumanObservation,743,0,1.3583202,8.3,523.239563,0,2372,0,1
153,c53a38ec-2ed9-4f54-b1b2-8b4f130e1be6,-41.99266355,148.2497248,1991,HumanObservation,646,0,0.6356368,11.53,0.9374634,0,,0,1
154,bf0559f9-2d34-49c6-9ab6-49f667c62835,-41.63934059,146.9196961,1999,HumanObservation,817,0,1.0917361,8.3,209.7223358,0,2370,0,1
155,bdaed86b-e2e6-468b-aa8a-ae0461359903,-42.7663857,147.5452686,1991,HumanObservation,528,,1.6621979,0,80.5938339,0,1142,0,1
156,bc504a1c-7878-4fe4-9c47-ca8491254cc0,-42.52300868,147.3775687,1991,HumanObservation,499,0,1.551024,0,272.0948792,0,2735,0,1
157,b8e03f20-a096-4ade-8ef3-cf17945425b3,-41.84435164,147.2133483,1991,HumanObservation,541,0,0.7002876,11.53,166.8123322,0,1434,0,1
158,b73db2b8-3f76-4c50-b203-91b4f552e303,-42.42892463,147.8077134,1991,HumanObservation,708,7071.067871,1.1233805,11.53,380.5456543,0,2372,0,
159,aee713fc-99fe-43c2-943c-8b5d0790bfea,-42.66516722,147.3846877,1980,HumanObservation,540,0,0.8353589,0,152.2032166,0,2372,0,
160,ae2f7c68-87e2-4014-a194-b92e898dc7b5,-43.03603287,147.0406576,1991,HumanObservation,781,0,1.3297338,0,10.8140745,0,2574,0,1
161,ab4b64b0-c69e-45e8-8e95-478753657b5d,-42.58382132,147.8081258,1991,HumanObservation,638,0,0.1908692,11.53,85.1366959,0,2736,0,1
162,a62f3e73-e135-4ecf-b750-4457c1d2e90a,-42.78388458,147.0453826,1991,HumanObservation,611,0,1.1489261,11.53,38.2277336,0,2372,0,1
163,9e05a0fd-a500-4138-be03-936b69845416,-41.80654767,147.8127288,1991,HumanObservation,722,5000,0.7648442,11.45,245.2605438,0,2563,0,1
164,94b1771a-6448-4533-aedf-56714a68db54,-42.5219328,147.4274784,1990,HumanObservation,596,0,1.0216985,11.53,334.1875305,0,2735,0,1
165,944b9a3d-8ac3-472f-af65-f4bf6638caa2,-42.50030652,147.8971104,1991,HumanObservation,699,0,1.7825336,0,12.5691872,0,2736,0,1
166,922bba59-6e45-4768-86dd-8867088f8fd4,-42.35780355,147.804009,1991,HumanObservation,575,0,0.7084637,11.53,251.423233,0,2372,0,1
167,89d43f4f-651e-45ad-a6ae-e4b76c9a0ed9,-42.0911525,147.4983347,1991,HumanObservation,505,0,0.4152201,68.29,213.2480927,0,2819,0,1
168,8874078e-e27f-413a-975b-b25dc8376b8f,-41.93754931,147.6008778,1974,HumanObservation,552,0,1.2999744,8.3,417.4734802,0,2372,0,1
169,8429143f-de0a-4609-977c-6d007179cb8e,-42.71517139,146.9513579,1977,HumanObservation,619,0,1.0953552,0,74.6545639,0,2735,0,1
170,7f7e420c-c3e3-4a7c-bacc-fabf27eb1d18,-42.75640501,147.3288784,1993,HumanObservation,626,0,0.8040057,11.53,321.653656,0,2272,0,1
171,7e36620f-f34b-4093-be50-229a109fab44,-42.42198227,147.7695783,1991,HumanObservation,708,7071.067871,1.1052152,11.53,424.2463074,0,2372,0,
172,7def362c-bdbe-43af-955a-454a34ec6a80,-41.45,147.15,1963,PreservedSpecimen,704,0,0.6900082,0,72.7482071,0,2722,0,1
173,77e61c12-ff6b-40bc-8c86-7cc651e8dae1,-42.49848864,148.0013328,1974,HumanObservation,579,,,0,,0,,0,1
174,71925b74-9197-419e-a0a9-59f78cf2e6fd,-42.11289202,146.2042225,1994,HumanObservation,2032,5000,1.3496231,8.3,736.7296753,0,1067,0,1
175,70cc4859-9341-4854-b62e-6804fbac1320,-42.40374699,147.8021651,1991,HumanObservation,708,7071.067871,1.1233805,11.53,431.5939941,0,2372,0,
176,692099ef-d05f-4f97-9569-d9b27038425f,-42.6800208,147.2662271,1986,HumanObservation,535,0,1.0194761,0,50.9859962,0,155,0,1
